flight_number,origin,destination,flight_type
AA 7005,,,International
AA 7005,,,International
AA 7006,,,International
AA 7006,,,International
AA 7007,,,International
AA 7007,,,International
AA 7009,,,International
AA 7009,,,International
AA 7010,,,International
AA 7010,,,International
AA 7013,,,International
AA 7013,,,International
AA 7016,,,International
AA 7016,,,International
AA 7017,,,International
AA 7017,,,International
AA 7019,,,International
AA 7019,,,International
AA 7032,,,International
AA 7032,,,International
AA 7033,,,International
AA 7033,,,International
AA 7034,,,International
AA 7034,,,International
AA 7037,,,International
AA 7037,,,International
AA 7038,,,International
AA 7038,,,International
AA 7039,,,International
AA 7039,,,International
AA 7040,,,International
AA 7040,,,International
AA 7041,,,International
AA 7041,,,International
AA 7042,,,International
AA 7042,,,International
AA 7045,,,International
AA 7045,,,International
AA 7046,,,International
AA 7046,,,International
AA 7047,,,International
AA 7048,,,International
AA 7048,,,International
AA 7050,,,International
AA 7050,,,International
AA 7052,,,International
AA 7052,,,International
AA 7053,,,International
AA 7053,,,International
AA 7054,,,International
AA 7054,,,International
AA 7055,,,International
AA 7056,,,International
AA 7056,,,International
AA 7057,,,International
AA 7057,,,International
AA 7058,,,International
AA 7058,,,International
AA 7060,,,International
AA 7060,,,International
AA 7061,,,International
AA 7061,,,International
AA 7065,,,International
AA 7065,,,International
AA 7067,,,International
AA 7067,,,International
AA 7068,,,International
AA 7071,,,International
AA 7071,,,International
AA 7076,,,International
AA 7076,,,International
AA 7079,,,International
AA 7079,,,International
AA 7080,,,International
AA 7080,,,International
AA 7081,,,International
AA 7082,,,International
AA 7082,,,International
AA 7090,,,International
AA 7090,,,International
AA 7095,,,International
AA 7095,,,International
AA 7098,,,International
AA 7098,,,International
AA 7101,,,International
AA 7101,,,International
AA 7102,,,International
AA 7102,,,International
AA 7104,,,International
AA 7105,,,International
AA 7106,,,International
AA 7106,,,International
AA 7108,,,International
AA 7108,,,International
AA 7110,,,International
AA 7110,,,International
AA 7112,,,International
AA 7112,,,International
AA 7115,,,International
AA 7115,,,International
AA 7118,,,International
AA 7118,,,International
AA 7122,,,International
AA 7123,,,International
AA 7123,,,International
AA 7126,,,International
AA 7126,,,International
AA 7128,,,International
AA 7128,,,International
AA 7129,,,International
AA 7129,,,International
AA 7133,,,International
AA 7135,,,International
AA 7135,,,International
AA 7136,,,International
AA 7140,,,International
AA 7140,,,International
AA 7142,,,International
AA 7142,,,International
AA 7149,,,International
AA 7149,,,International
AA 7151,,,International
AA 7151,,,International
AA 7156,,,International
AA 7156,,,International
AA 7162,,Larnarca Larnaca,International
AA 7162,,Larnarca Larnaca,International
AA 7165,,,International
AA 7165,,,International
AA 7166,,,International
AA 7166,,,International
AA 7167,,,International
AA 7167,,,International
AA 7168,,,International
AA 7169,,,International
AA 7169,,,International
AA 7171,,,International
AA 7171,,,International
AA 7172,,,International
AA 7172,,,International
AA 7175,,,International
AA 7175,,,International
AA 7177,,,International
AA 7177,,,International
AA 7182,,,International
AA 7182,,,International
AA 7184,,,International
AA 7184,,,International
AA 7186,,,International
AA 7186,,,International
AA 7187,Larnarca Larnaca,,International
AA 7187,Larnarca Larnaca,,International
AA 7188,,,International
AA 7188,,,International
AA 7189,,,International
AA 7189,,,International
AA 7190,,,International
AA 7190,,,International
AA 7191,,,International
AA 7191,,,International
AA 7197,,,International
AA 7197,,,International
AA 7200,,,International
AA 7200,,,International
AA 7201,,,International
AA 7209,,,International
AA 7209,,,International
AA 7211,,,International
AA 7211,,,International
AA 7212,,,International
AA 7212,,,International
AA 7213,,,International
AA 7213,,,International
AA 7217,,,International
AA 7217,,,International
AA 7218,,,International
AA 7218,,,International
AA 7221,,,International
AA 7221,,,International
AA 7222,,,International
AA 7228,,,International
AA 7230,,,International
AA 7230,,,International
AA 7236,,,International
AA 7236,,,International
AA 7237,,,International
AA 7237,,,International
AA 7239,,,International
AA 7249,,,International
AA 7249,,,International
AA 7251,,,International
AA 7254,,,International
AA 7254,,,International
AA 7258,,,International
AA 7258,,,International
AA 7259,,,International
AA 7259,,,International
AA 729,,,International
AA 729,,,International
AA 733,,,International
AA 733,,,International
AA 734,,,International
AA 734,,,International
AA 735,,,International
AA 735,,,International
AA 737,,,International
AA 737,,,International
AA 78,,,International
AA 78,,,International
AA 79,,,International
AA 79,,,International
AA 80,,,International
AA 80,,,International
AA 8023,,,International
AA 8023,,,International
AA 8036,,,International
AA 8036,,,International
AA 8039,,,International
AA 8039,,,International
AA 8040,,,International
AA 8040,,,International
AA 8041,,,International
AA 8041,,,International
AA 8044,,,International
AA 8044,,,International
AA 8047,,,International
AA 8047,,,International
AA 8048,,,International
AA 8048,,,International
AA 8061,,,International
AA 8061,,,International
AA 8069,,,International
AA 8069,,,International
AA 8070,,,International
AA 8070,,,International
AA 8071,,,International
AA 8071,,,International
AA 8076,,,International
AA 81,,,International
AA 81,,,International
AA 8106,,,International
AA 8147,,,International
AA 8147,,,International
AA 8183,,,International
AA 8183,,,International
AA 8235,,,International
AA 8235,,,International
AA 8603,,,International
AA 8603,,,International
AA 8652,,,International
AA 8652,,,International
AA 8653,,,International
AA 8653,,,International
AA 8655,,,International
AA 8755,,,International
AA 8755,,,International
AA 9000,,,International
AA 9000,,,International
AA 9003,,,International
AA 9003,,,International
AA 9004,,,International
AA 9004,,,International
AA 91,,,International
AA 91,,,International
AA 9225,,,International
AA 9225,,,International
AA 9229,,,International
AA 9229,,,International
AA 98,,,International
AA 98,,,International
AC 2080,,,International
AC 2081,,,International
AC 2667,,,International
AC 2667,,,International
AC 2668,,,International
AC 2668,,,International
AC 2708,,,International
AC 2708,,,International
AC 2709,,,International
AC 2709,,,International
AC 2715,,,International
AC 2715,,,International
AC 2848,,,International
AC 2848,,,International
AC 2849,,,International
AC 2849,,,International
AC 2850,,,International
AC 2850,,,International
AC 2857,,,International
AC 2857,,,International
AC 2978,,,International
AC 2978,,,International
AC 2979,,,International
AC 2979,,,International
AC 3030,,,International
AC 3520,,,International
AC 3520,,,International
